date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2023-07-31,-0.00856271,-0.00816835,-0.00856271,0.00041940,449,high_growth_theme,False,caution,-0.03581717,0.10000000,0.10869275,6,24,60
2023-08-31,-0.04497498,-0.04460420,-0.04497498,0.00039094,452,high_growth_theme,False,risk_on,0.07869138,0.00000000,0.00791073,6,25,65
2023-09-29,0.06970797,0.06970797,0.06970797,0.00000000,453,high_growth_theme,False,caution,0.17516078,0.10000000,0.00791073,6,7,63
2023-10-31,-0.06439348,-0.06411106,-0.06439348,0.00030420,456,high_growth_theme,False,caution,0.24321655,0.10000000,0.10081431,6,17,58
2023-11-30,-0.06005457,-0.05979816,-0.06005457,0.00025841,457,high_growth_theme,False,caution,0.36976567,0.10000000,0.10420478,6,7,57
2023-12-29,0.03067355,0.03104548,0.03067355,0.00035231,459,high_growth_theme,False,caution,0.03255460,0.10000000,0.09467109,6,22,63
2024-01-31,0.02323892,0.02342222,0.02323892,0.00017896,462,high_growth_theme,False,caution,-0.00353167,0.10000000,0.08610102,6,25,57
2024-02-29,0.01744905,0.01772881,0.01744905,0.00027949,466,high_growth_theme,True,risk_off,-0.06982058,0.35000000,0.34730703,6,15,56
2024-03-28,0.01499689,0.01525567,0.01499689,0.00026303,466,high_growth_theme,True,risk_off,-0.12501840,0.35000000,0.35357037,6,26,58
2024-04-30,0.04325728,0.04358544,0.04325728,0.00033857,468,high_growth_theme,False,caution,-0.04838655,0.10000000,0.09987903,6,11,58
2024-05-31,0.06673023,0.06718264,0.06673023,0.00048694,469,high_growth_theme,False,caution,-0.04411826,0.10000000,0.10590535,6,28,63
2024-06-28,0.05102017,0.05150658,0.05102017,0.00055847,469,high_growth_theme,False,risk_on,0.11056144,0.00000000,0.00000000,6,22,56
2024-07-31,-0.07616720,-0.07565462,-0.07616720,0.00061854,469,high_growth_theme,False,risk_on,0.10694983,0.00000000,0.00000000,6,24,60
2024-08-30,0.02531172,0.02564137,0.02531172,0.00036749,471,high_growth_theme,False,risk_on,0.00900634,0.00000000,-0.00794004,6,10,60
2024-09-30,0.06810343,0.06859296,0.06810343,0.00055954,471,high_growth_theme,False,risk_on,0.07122244,0.00000000,-0.00431995,6,20,63
2024-10-31,0.01056024,0.01097731,0.01056024,0.00050918,474,high_growth_theme,False,risk_on,0.07517898,0.00000000,0.00000000,6,28,69
2024-11-29,0.01755316,0.01803269,0.01755316,0.00059163,476,high_growth_theme,False,risk_on,0.36335653,0.00000000,-0.00828244,6,19,66
2024-12-31,0.01367093,0.01388737,0.01367093,0.00027172,479,high_growth_theme,False,risk_on,0.30364554,0.00000000,-0.01627087,6,14,61
2025-01-28,0.00320360,0.00350077,0.00320360,0.00037817,482,high_growth_theme,False,risk_on,0.27338549,0.00000000,-0.00353891,6,20,55
2025-02-28,0.11393739,0.11432591,0.11393739,0.00049601,483,high_growth_theme,False,risk_on,0.49588785,0.00000000,0.00000000,6,16,53
2025-03-31,0.05476836,0.05508918,0.05476836,0.00045625,483,high_growth_theme,False,risk_on,0.35043235,0.00000000,0.00000000,6,25,57
2025-04-30,0.04414392,0.04427703,0.04414392,0.00019966,483,high_growth_theme,False,risk_on,0.47530119,0.00000000,-0.00000000,6,15,53
2025-05-30,0.01646123,0.01686052,0.01646123,0.00062538,484,high_growth_theme,False,risk_on,0.44888384,0.00000000,-0.01415421,6,19,60
2025-06-30,0.14019785,0.14070338,0.14019785,0.00080480,486,high_growth_theme,False,risk_on,0.36320454,0.00000000,0.00000000,6,24,62
2025-07-31,0.02608704,0.02659543,0.02608704,0.00092283,488,high_growth_theme,False,risk_on,0.52027553,0.00000000,0.01350937,6,30,61
2025-08-29,0.10674636,0.10714835,0.10674636,0.00074873,489,high_growth_theme,False,risk_on,0.68778100,0.00000000,0.00000000,6,21,56
2025-09-30,0.02423677,0.02465641,0.02423677,0.00086504,491,high_growth_theme,False,risk_on,0.84757433,0.00000000,0.00000000,6,19,62
2025-10-31,-0.09125698,-0.09085213,-0.09125698,0.00085478,492,high_growth_theme,False,risk_on,0.59268150,0.00000000,0.00000000,6,27,72
2025-11-28,-0.03811949,-0.03782417,-0.03811949,0.00056660,495,high_growth_theme,False,risk_on,0.71401473,0.00000000,0.00259729,6,10,67
2025-12-31,0.00056883,0.00089197,0.00056883,0.00059637,498,high_growth_theme,False,risk_on,0.73715512,0.00000000,0.01868853,6,12,65
2026-01-30,0.14156512,0.14197469,0.14156512,0.00075630,507,high_growth_theme,False,risk_on,0.67005803,0.00000000,-0.01285725,6,17,68
2026-02-27,0.13184523,0.13215302,0.13184523,0.00064882,509,high_growth_theme,False,risk_on,0.65418219,0.00000000,0.00000000,6,32,68
2026-03-31,-0.00688495,-0.00646796,-0.00688495,0.00099490,510,high_growth_theme,False,risk_on,0.62620691,0.00000000,0.02098570,6,27,71
